name,sold,original_price,promo_price,store_name,url,img,rating,review
大王 - 新裝游水紙尿褲 M中碼(6-12kg) 4片枚男女共用 860801 x2包 日本製 Goo.N 日本內銷 游泳專用尿片 新舊包裝隨機發送,已售出 60+,原價@$69 | 限時平均$45/pack,$ 90.00,Baby Pace 伴幼成長 日本生活百貨,https://www.hktvmall.com/hktv/zh/s/H8563001,https://images.hktv-img.com/images/HKTV/37800/BGOS30492_main_71864750_20210830043838_01_300.jpg,NA,NA
unicharm - 【原箱2包】MOONY 女仔 學習褲 加大碼 XL 44片 (平行進口) #154326 *新舊包裝隨機,已售出 60+,$ 305.00,$ 254.00,Wonder Babies,https://www.hktvmall.com/hktv/zh/exp/Redemption_H6961001_20226023,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/c76f/d55e/cd18/QhKbgIFQHm20220720165557_300.jpg,NA,NA
CHARLIE BANANA® - 兩用游泳及學習褲-大碼-Hot Pineapple,已售出 60+,,$ 121.00,Winc Design Limited,https://www.hktvmall.com/hktv/zh/s/S1175001,https://images.hktvmall.com/s1175001/192292/s1175001_888976_180605060709_01_300.jpg,NA,(1)
unicharm - MOONY 女用游泳褲 XL加大碼 (3片) (平行進口貨),已售出 60+,$ 65.00,$ 36.00,JDH Mall 生活百貨,https://www.hktvmall.com/hktv/zh/s/H9537001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/24b0/c5dc/d709/OkXsCIlRDv20230411145313_300.jpg,NA,NA
Pampers  - [原箱4包] Pampers 夜用 安睡褲加大碼30片 x 4包 (平行進口),已售出 60+,限時快閃 $153/包 | 原價$260,$ 612.00,Wonder Babies,https://www.hktvmall.com/hktv/zh/exp/Redemption_H6961001_20226023,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/ccb6/60c6/a859/dgRjbsZyED20220601153113_300.jpg,NA,NA
Merries - 日本花王[頂級系列]紙尿片 S 細碼 (4-8 Kg) - 原箱 66片- First Premium (39760) 平行進口,已售出 50+,細碼(S) 198片,$ 338.00,10號店,https://www.hktvmall.com/hktv/zh/s/H8260001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/e8a5/1e33/14bc/zIYrvkivsM20221223172951_300.jpg,NA,NA
Pampers  - Pampers Ichiban 特級棉柔 學習褲 加大碼 46片 XL 46 | 拉拉褲 (男女共用) (12-22kg) (平行進口),已售出 50+,$ 168.00,$ 135.00,孫悟空,https://www.hktvmall.com/hktv/zh/s/H9005003,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/f81d/fe7b/27f8/fmqUeNHhaf20230429145404_300.png,NA,NA
Pampers  - 日本Ichiban 巧虎安睡褲加加大碼 XXL (22片 x 4包) [平行進口] 幫寶適/ 防漏/ 拉拉褲/ 學習褲,已售出 50+,4包裝優惠,$ 618.00,一買當先,https://www.hktvmall.com/hktv/zh/s/H9801001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/90d4/b97e/dac3/vgBgiOHPXL20220501222851_300.jpg,NA,NA
Pampers  - Pampers - 日本版 幫寶適 紙尿片 特級棉柔 L大碼 52片 x 3 包 (原箱優惠) 【新舊包裝隨機發貨】 (平行進口),已售出 50+,平均$118包,$ 354.00,H&K GROCERTIES,https://www.hktvmall.com/hktv/zh/s/H6401002,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/fc7c/b274/f3db/bIEcZxCMDe20230602100051_300.png,NA,NA
大王 - 游泳尿褲L碼12片裝 (平行進口貨),已售出 50+,夏日嬰兒用品週,$ 90.00,JDH Mall 生活百貨,https://www.hktvmall.com/hktv/zh/s/H9537001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/8a93/cf78/23cb/fBTTDtemNY20230606144140_300.jpg,NA,NA
